"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","1926"
"query","Query:[tag=""N.*""& tag!=""NNSZ"" & tag!=""NNZ""& tag!=""NPZ""& tag!=""NPSZ""][tag=""VVN"" & lemma =""stain""] [tag=""N.*""] within < s/>"
"Reference","Left","KWIC","Right"
"gregathcompany.com","Day, Mother''s Day, and weddings, along with the magic of day-to-day love and affection. </s><s> ADD2135-$7.00 </s><s> Words of","Love Stained Glass","Coloring Book, by Carol Foldvary-Anderson. 32 pages, 8.5x11"", softbound book. </s><s> ""Where there is love, there is life"" ("
"lyricsondemand.com","readin'' it, While you hang you head and cry. </s><s> I just hope you''re not so sad, You''re gonna go down suicide. </s><s> I''m gonna write a","tear stained letter",": Put it special delivery. </s><s> ''Cause it''s gonna be full of stuff, That''s only known to you and me. </s><s> ''Bout how every time I get"
"lyricsondemand.com","a long time, On the answer that you choose. </s><s> It will be a most important piece, Of personal, private news. </s><s> I''m gonna write a","tear stained letter",": Mark it ""Personal Private News."" </s><s> An'' I hope you''ll keep it to yourself, An'' don''t go ''round cryin'' the blues. </s><s> Givin'' off"
"lyricsondemand.com","that suddenly, The music was all gone. </s><s> And this man and this woman got cut off, In the middle of our song. </s><s> I''m gonna write a","tear stained letter",": I''m gonna put it to a tune. </s><s> So I''ll be sendin'' with it, A sweet melody for you. </s><s> And not some red-hot, upbeat zinger, That"
"bloodletting.org","?"" </s><s> ~*Gives ya a questionable look~* </s><s> *cackles* Oh no...as a friend I''d never let that man wear a beard like that or well...","urine stained chonies",". *snicks* But those glasses...well, those do look similar to his goggles. *ponders* </s><s> Crystal my friend thank ya for the"
"batrock.net","get the GT-40 off the ground, which is essentially committee by another name. </s><s> It comes down to men in suits versus men in","grease stained overalls",", but it''s an uneasy tension in the script – and the nation. </s><s> Otherwise Ford v. Ferrari is light on overt displays of"
"thecatholicconnection.org",", and although the people awaited the coming of Christ in joyful anticipation, something else would arrive instead:","13 stained glass","windows. </s><s> These windows were carefully and thoughtfully chosen by the parishioners, mindful of the heritage they had"
"dvdcollectorsonline.com","Top Pee Wee 19. </s><s> Black Brigade 20. </s><s> Black Hawk Down 21. </s><s> Black Ribbon 22. </s><s> Blood Alley 23. </s><s> Blood on the Sun 24. </s><s> Blood Reaper 25. </s><s>","Blood Stained Bride","26. </s><s> Brainiac 27. </s><s> Branded 28. </s><s> British Intelligence 29. </s><s> The Broken 30. </s><s> Casulties of War 31. </s><s> Chain Reaction 32. </s><s> Chocolat"
"pencilpixels.com","2 M Chagall Windows 1 1 2 M Chagall Windows 2 1 2 M Chagall Windows 3 1 2 M Chagall Windows 4 1 2 M Simple Glass 1 2 M Jewel Glass 1 2","M Stained Plastic","1 2 M Gel Window Decore 1 2 M Diffusion Glass 1 2 3 M A Stained Glass v1 1 2 M Stained Glass v2 1 2 M Stained Glass v3 1 2 M Stained"
"pencilpixels.com","1 2 M Simple Glass 1 2 M Jewel Glass 1 2 M Stained Plastic 1 2 M Gel Window Decore 1 2 M Diffusion Glass 1 2 3 M A Stained Glass v1 1 2","M Stained Glass","v2 1 2 M Stained Glass v3 1 2 M Stained Glass v4 1 2 M Stained Glass v5 1 2 M Stained Glass v6 1 2 3 M A Glass Frames 1 2 3 Sunlight"
"pencilpixels.com","Jewel Glass 1 2 M Stained Plastic 1 2 M Gel Window Decore 1 2 M Diffusion Glass 1 2 3 M A Stained Glass v1 1 2 M Stained Glass v2 1 2","M Stained Glass","v3 1 2 M Stained Glass v4 1 2 M Stained Glass v5 1 2 M Stained Glass v6 1 2 3 M A Glass Frames 1 2 3 Sunlight Accents 1 2 3 * Some"
"pencilpixels.com","Plastic 1 2 M Gel Window Decore 1 2 M Diffusion Glass 1 2 3 M A Stained Glass v1 1 2 M Stained Glass v2 1 2 M Stained Glass v3 1 2","M Stained Glass","v4 1 2 M Stained Glass v5 1 2 M Stained Glass v6 1 2 3 M A Glass Frames 1 2 3 Sunlight Accents 1 2 3 * Some examples use SG Frames and"
