"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","16613"
"query","Query:[tag= ""VB.*""] [tag=""RB""]? [tag = ""VVN"" & lemma = ""stain""] [tag=""IN""] within < s/>;Shuffle:"
"Reference","Left","KWIC","Right"
"readcentral.com","of an animal,"" cried the indignant officer, picking up and examining the cruel weapon. </s><s> The sharp points of the nails","were stained with","blood, and morsels of skin and flesh adhered to them. </s><s> Dermot felt a strong inclination to thrash the brutal mahout with"
"tulane.edu","ready within 20 min. </s><s> Allows for automatic staining for histological and immunohistochemical slides </s><s> Up to 48 slides","are stained with","separated condition or exactly same condition </s><s> This setup is essential to perform semi-quantitative analysis of"
"liv.ac.uk","a dye which fluoresces (glows) under ultra-violet light, then only those cells which contain a specific DNA sequence","are stained by","that chemical. </s><s> These can then be detected using a special type of microscope with appropriate filters. </s><s> We will also be"
"cttbusa.org","one in the entire world. </s><s> ""I am the highest. </s><s> The President, the King, and the Chairman cannot compare with me."" </s><s> Do not","be stained by","arrogance or turned by deceit. </s><s> Sutra: ""''May this disciple be in past, present, and future thought, in every thought"
"familyfriendpoems.com","her messy hair. </s><s> Her mind is spoiled with terrible thoughts. </s><s> The anxiety she suffers puts her stomach in knots. </s><s> Her eyes","are stained from","countless tears. </s><s> Her thoughts corrupted with constant fears. </s><s> She grabs the bottle to numb her pain. </s><s> She feels as if she"
"rexresearch.com","and graphs of lacerated gastrocnemius muscle of non-vibrated and vibrated mice. </s><s> The tissue shown in FIG. 21A have","been stained for","visualization of the muscle fibers of the lacerated tissue in each of the non-vibrated and vibrated mice, with FIG. 21B"
"paclii.org","so severe and so numerous that, having regard to the fact that the prisoner was apparently uninjured, the sandshoes","being stained with","blood, the court drew an inference that the man was kicked to death. </s><s> He probably, in the first instance, intended to give"
"tomorrowsverse.com","an ego-less feel. </s><s> One guitarist managed to break multiple strings during the five-song set, and the other''s guitar","was stained with","blood splattered from prior shows. </s><s> Twin Peaks have managed to reach the point of greatness by the age of 22, and Chicago"
"smartmarineguide.com","Bayliner 195 Bowrider (As Is) DISCLAIMER: - Cracked Block in Motor - Interior has been detailed, however carpet has","been stained by","mold - Minor cracks in upholstery - Minor dings and scratches in hull - No cover - No leaks - Some water damage on floors"
"thriftyfun.com",", stomach, hips, buttocks and thighs. </s><s> Hair Product Stains on Microfiber? </s><s> I have a microfiber sofa and the back","is stained with","hair product. </s><s> How do I clean it? </s><s> I have not attempted to clean it yet. </s><s> I also notice that the material on the seats is"
"uoguelph.ca","fibres may be seen some flattened bubble-like inclusions. </s><s> These are the nuclei of the muscle fibre, and their DNA may","be stained by","treating the macerated muscle suspension with dyes such as haematoxylin. </s><s> On the surfaces of any fibres that have"
"climber.org","Tarzan was not carrying a rider, just equipment. </s><s> The middle and upper portions of the steep part of the switchbacks","were stained with","large splashes and even pools of blood. </s><s> End flashback: it was kinda creepy hiking through here on the way down on Sunday,"
"kjim.org","mean scores were compared between the groups. </s><s> For the immunohistochemical detection of neutrophils, kidney tissues","were stained with","an anti-Ly6G (lymphocyte antigen 6 complex, locus G) antibody (eBioscience, San Diego, CA, USA). </s><s> Eight to 10 HPFs (×"
"nigeriamedj.com","identified and the relevant request forms, slides and tissue blocks for the study period were retrieved. </s><s> All sections","were stained with","standard Haematoxylin and Eosin. </s><s> Cases were diagnosed and categorized using the histologic features published by"
"scicrunch.org","of the lacZ gene during the RA-induced differentiation process of 300 clones selected with G418. </s><s> Ten of these clones","were stained with","X-gal, and five of these ten clones showed up- or down-regulation of lacZ expression. </s><s> We analyzed one clone, GT1, in"
"europepmc.org","<s> Subsequently, embryos were washed again in PBS and then processed for paraffine sectioning. </s><s> Sections (8–10 μm thick)","were stained with","cresyl violet and photographed by using the Zeiss Axiophot. </s><s> Whole-Mount in Situ Hybridization Analysis. </s>"
"arvojournals.org","and immunofluorescence as described in our previous studies.8,13 In brief, three different pterygium tissues","were stained with","H&E and examined under a light microscope (shown in Fig. 2 and Supplementary Fig. S1). </s><s> To determine the"
"arvojournals.org","ciliary nerves containing CNGCs were postfixed in Ito solution and embedded in Epon. </s><s> Semithin sections of the CNGCs","were stained with","toluidine blue. </s><s> Porcine Eyes </s><s> Choroid. </s><s> In all 24 wholemounts of the porcine choroid that were stained for NADPH-D,"
"arvojournals.org",". </s><s> Finally, incubation with the secondary antibody, BrdU-positive cells were identified. </s><s> The nuclei of rTFs","were simultaneously stained with","10 g/mL 4'',6-diamidino-2-phenylindole (DAPI). </s><s> Cells with different BrdU-incorporation patterns were analyzed"
"slashaholics.org","her loving him. </s><s> I''m in that empty parlor trying to breathe when Marsius comes in. </s><s> He knows. </s><s> It''s all over his face, which","is stained with","pity, but he says nothing. </s><s> I''m glad, glad too that he doesn''t touch me, just stands there quietly. </s><s> Aphra and Clifford"
"mastersofgames.com","comprises a stained hardwood hexagonal board and wooden chess pieces crafted from hornbeam and beech wood. </s><s> The pieces","are then stained in","3 different colours. </s><s> The board is also hinged and folds to double as a storage container for the chess pieces. </s><s> Tripe"
"helovia.com","the carnage as the dry wind rattled his hair and the foul stench of death overwhelmed his senses. </s><s> His ruby red skin","was still stained with","the blood of his brothers, his sisters, his kin, and the sky-born beasts that had slaughtered everything he had ever"
"jesus-is-savior.com","the harshness of early Church teachings which insisted that any child who died before he or she was baptised would still","be stained by","Original Sin and so would be condemned to hell. </s><s> However, an international commission of Catholic theologians,"
"tomralstonconcrete.com","floor. </s><s> The areas around the little cranny''s of exposed (some indigenous and some imported) shells and aggregates","were individually stained with","small artists brushes. </s><s> Some of those areas were darkened with stain which gave a crater like effect reminiscent of the"
"mysteriouspress.com","the end. </s><s> He lured Lisa to the oceanfront park, entered her car on the passenger side, shot her twice, and escaped without","being stained by","her blood. </s><s> He took the gun with him, as planned-but he forgot her purse, the crucial detail meant to make the crime look"
"amegroups.com","cycle analysis </s><s> Cells were collected and fixed with 70% ethanol at −20 °C overnight, then washed with PBS twice. </s><s> Cells","were stained with","propidium iodide (PI) containing RNase for 30 minutes in the dark, then analyzed for cell-cycle profile by FACS ("
"interest.co.nz","New Zealand respond as debt /mortgage volumes continue to decline, and overheads escalate. </s><s> Will the client paperwork","be stained by","coffee cups or squirrel droppings. </s><s> Will the Banks simply do away with this unnecessary service sector and take"
"pelvicfloordigest.org","P < 0.05). </s><s> In a serial section study, the oval-shaped cells were stained for anti-CD 68, while the spindle-shaped cells","were stained for","anti-vimentin. </s><s> CONCLUSIONS: OPN in two types of large colon-infiltrating cells is possibly related to one of the"
"writewellgroup.com","nor law.'' </s><s> And what happens? </s><s> He cannot endure his first collision with the conditions of this wild nature, and his hands","are stained with","blood. </s><s> The wretched dreamer was not only unfitted for universal harmony, but even for gipsies, and they drive him away–"
"socialwebpad.com","<s> About UNICEF </s><s> The causes of tooth staining range from genetics, to age, to diet. </s><s> Learn how you can prevent your teeth from","being stained by","your lifestyle and habits. </s><s> Police-community relations </s><s> White collar and organized crime investigations </s><s> This is an"
"adult-fanfiction.org","t-shirt and a worn pair of jeans that were badly ripped. </s><s> His mountain boots were covered in mud and his white t-shirt","was stained with","muddy water and grass. </s><s> There was an adorable grass stain across one of his pale cheeks. </s><s> T looked like the boy had taken a"
"stamfordadvocate.com","owners. </s><s> Domenic Esposito''s latest demonstration featured another 800-pound spoon. </s><s> The solid-aluminum figure","was stained like","the original to represent burnt heroin and engraved with the Rhodes name on its handle. </s><s> Esposito''s new protest"
"armyranger.com",") and leave ''em,"" another suggested. </s><s> After a two-minute break, the soldiers climbed to their feet. </s><s> Their uniforms","were stained by","sweat and now covered in sand. </s><s> They slowly pulled on their 50-pound rucksacks and took up their positions. </s><s> Four"
"roswellfanatics.net","we succeeded the future has been changed Teal''c and I are alive and well."" </s><s> She pulls away from his embrace. </s><s> Her face","is stained with","tears. </s><s> ""I know you are alive and I''m thankful for it but you and Teal''c are my best friends and seeing you die in any fashion"
"bio-protocol.org","e.g. 3 mm x 3 mm) by knife and put ~10 leaf pieces/sample in 3 ml vial container. </s><s> Note that the center of larger pieces won''t","be stained with","AF488 probe. </s><s> Add 1 ml Fixation solution A in the vial container and shake (Approx. 80 rpm) for 30 min at room temperature ("
"exemplore.com","symbolizes the ability to neutralize half of an enemy''s power. </s><s> Killing a snake: Particularly if the dreamer''s hands","are stained with","the snake''s blood, this represents overcoming one''s enemy. </s><s> Snake speaking friendly words: This represents"
"arvojournals.org","goat anti-mouse IgG (1:200; Dianova), Cy5-coupled donkey anti-rabbit IgG (Dianova; 1:200). </s><s> Blood vessels","were stained with","biotinylated Griffonia simplicifolia isolectin B4 (1:200; Sigma-Aldrich) and Cy2-coupled streptavidin (1:200;"
"wikipedia.org",", to sell at a busy marketplace. </s><s> The sabre has the rare properties of slicing metal and hair with ease and killing without","being stained with","blood. </s><s> Fascinated by the sabre, hooligan Niu Er wants to snatch it away from Yang. </s><s> In the scuffle, Yang accidentally"
"dovepress.com","(FlowJo, Inc., Ashland, OR, USA). </s><s> Fluorescent microscopy </s><s> Raji, HL60, and Jurkat cell lines and normal lymphocytes","were stained with","FITC-conjugated antibodies, namely isotype control, anti-NaK antibody, or anti-TK1 antibody (CB1) for 30 minutes"
"rupress.org","C57BL/6 mice expressing an enhanced yellow fluorescence protein reporter under the control of the CD11c promoter","were stained with","anti-langerin mAb. </s><s> Nuclei were counterstained with DAPI. </s><s> Image of Cy3 (langerin, red), YFP (CD11c, green), and DAPI ("
"chestofbooks.com","unstained and living condition as well. </s><s> The best way to do this... </s><s> Spores are the resting forms of various organisms and","are stained with","difficulty, but when once stained are hard to decolorize. </s><s> Abbott''s Method 1. </s><s> Stain the cover-glass deeply with"
"oilprice.com","Washington. </s><s> Sudan and South Sudan might be awash in âblack gold,â but the future seems to indicate that the revenue will","be stained with","more red from the blood of its people before any resolution to the two nationsâ outstanding issues appears. </s><s> As"
"scicrunch.org","Lowicryl K4M without postosmication. </s><s> For light microscopy (LM), semi-thin sections of the Epon-embedded material","were stained by","the immunoenzyme technique after removal of epoxy resin. </s><s> For electron microscopy (EM), ultra-thin sections of"
"ucsd.edu","from the trauma to the surgery. </s><s> Bioptats of the nasal septum cartilage were fixed in Carnoy mixture. </s><s> Paraffin sections","were stained with","hematoxilin and eozin, after Van Ghison on collagen fibrils, toluidine blue on acid glycoaminglicans (GAG) and"
"chinesenotes.com",", (therefore), the chief criminals, I will not punish those who have been forced to follow them; and those who have long","been stained by","their filthy manners will be allowed to renovate themselves. </s><s> ''Oh! when sternness overcomes compassion, things are"
"tf2chan.net","coated with blood, a bit more won''t upset anything. </s><s> Their clothes, however, are ruined. </s><s> The white lab coat and shirt","are stained with","long streaks of crimson and haphazard hand prints, but neither of them care. </s><s> Medic is already scratching at Heavy''s"
"proteinatlas.org",", most abundant in adrenal gland. </s><s> Distinct expression in endothelial cells of CNS. </s><s> Thyroid carcinomas and carcinoids","were strongly stained in","a few cases. </s><s> Moderate to strong cytoplasmic and membranous staining was observed in several liver, prostate,"
"irm.org","Ely near the kitchen area. </s><s> It goes all the way through. </s><s> Hole in Ely roof near the kitchen </s><s> The barrier built by Jon and Mark","was stained by","Shelly and was ready for reassembly on Sunday. </s><s> In the image below, a reflection of Jon is seen in the plexiglass while Sam"
"arvojournals.org","were fixed with 4% paraformaldehyde for 30 minutes and washed with 0.05 M Tris buffered saline (TBS). </s><s> Specimens","were stained with","blue dye (Contrast Blue; Kirkegaard and Perry) according to the manufacturer''s instructions. </s><s> Sections were then"
"snmjournals.org","of a control subject (55-year male) and a patient with Alzheimer''s disease (68-year female). </s><s> Adjusted sections","were stained by","anti... </s><s> The timezone in Perpetua is America/Thule Morning Sunrise at 07:06 and Evening Sunset at 19:19. </s><s> It''s Dark"
"brandeis.edu","design is too badly obscured to accurately determine this. </s><s> The bottom is stamp with a faded seal, the front tip of which","is stained with","an unidentified green substance. </s><s> Online businesses franchises </s><s> Featured Franchise </s><s> Want to set up your own travel"
"warfactory.co.uk","drybrush with the original colour . </s><s> A dryer drybrush with the original colour mixed with a pale cream. </s><s> Finally the dome","was stained with","patchy washes of different browns and dark greenish browns. </s><s> In some case these were smeared (using a finger) and in some"
"blithe.com","the August sun had tanned it dark as creamed coffee. </s><s> It was in a bar; it could have been the way the lights hit me. </s><s> His tongue","was stained from","the wine he''d been drinking, the way that red wine will do it; his half-empty glass had rings of red to show where his"
"invitroscreeningblog.com","mM Tris and incubated at 37 C for 16 24 h in a development buffer containing 50 mM Tris, 5 mM CaCl2, and 0. 02% NaN3. </s><s> The gels","were stained with","0. 2% Coomassie blue R250 and destained with 1,1 acetic acid methanol solution. </s><s> Experiments were performed in trip"
"scicrunch.org","on the basis of their size by velocity sedimentation at 190 g in sucrose gradient. </s><s> Different chromosomal fractions","were stained by","applying fluorochromes with different DNA-base specificity: Hoechst 33258 and Olivomycine and were analysed using"
"palomar.edu","of vessels with spirally thickened walls. </s><s> More vascular strands were directly above this view. </s><s> The perianth segment","was stained with","safranin. </s><s> This photo is from a pressed specimen from Santa Catalina Island labeled B. jolonensis. </s><s> Pressed flower of B."
"albawaba.com","a democratic transition and a revolution against tyranny and dictatorship, will receive a criminal whose hands","were stained with","the blood of Saudis and Yemenis."" </s><s> In addition to the latest developments were seen initiated by the Saudi government"
"patentsencyclopedia.com","was removed from the channel, and gel electrophoresis was used to elute its dsDNA content (FIG. 32). </s><s> The dsDNA on the gel","was stained by","EtBr and then imaged using a fluorescence scanner. </s><s> A raw fluorescence image of a typical gel is shown in FIG. 46. </s><s> Here,"
"turbula.net","of her. </s><s> ""Dirty sand,"" she said. </s><s> She had heard one of the adults talk about the sand. </s><s> It looked like a white carpet that had","been stained by","foot traffic and needed a steam cleaning. </s><s> ""Dirty sand."" </s><s> Inside the roundhouse, the adults sat talking, keeping their"
"patentsencyclopedia.com","seen in ASCs cultured in adipogenic medium (FIG. 5B) indicating differentiation into adipocytes. </s><s> The samples","were stained with","Oil red O. FIG. 5E shows a negative control. </s><s> Proteoglycans produced by ASCs cultured in chondrogenic medium (FIG. 5C)"
"newtlove.com","go to Alan? </s><s> What is a good Catholic boy doing in the killing business anyhow? </s><s> Can Nick be in the business without his soul","being stained by","the work it requires? </s><s> In the course of the investigation, Nick meets Wendy Brooks, who may well be the soulmate he had"
"openscrolls.net",", my pantobles forgotten beneath my seat in the saloon. </s><s> My loose hair fell untidily on my simple dress. </s><s> Maitimo''s shoes","were stained with","dust, the same fine grains clinging to his tunic, dimming its subdued reddish brown. </s><s> Clothes to travel in. </s><s> His hair"
"adjudication.co.uk","in boards when it sanded them, and would have rectified it. </s><s> Renaissance also says that because the boards were to","be stained before","coating, the clusters would not have been noticeable. </s><s> 10. </s><s> Having heard the evidence I have concluded that at the time of"
"rndsystems.com","- 400 μL of PBS for flow cytometric analysis </s><s> It is recommended to run a negative control. </s><s> A separate set of cells should","be stained with","an Isotype Control Antibody using the steps outlined above. </s><s> Foreword INDIES Finalist </s><s> ""Summer of Hush"" is secret"
"chestofbooks.com",", these towers played a prominent part in Prague''s eventful history; and, since so many of the pages of its annals have","been stained with","blood, some of the souvenirs of its grim battlements are ghastly. </s><s> Thus, after the decapitation in 1621 of many"
"phcog.com","(eWAT) and liver were fixed in 10% formalin, dehydrated, and embedded in paraffin. </s><s> Further, eWAT and liver sections","were stained with","hematoxylin and eosin to examine the morphology. </s><s> Total RNA was isolated from liver and eWAT using TRIZOL reagent ("
"patentsencyclopedia.com","CC2-DMPE solution. </s><s> Plates are incubated in the dark for 30 minutes at room temperature. </s><s> [0474]4) While the cells are","being stained with","coumarin, a 15 μL oxonol solution in BS#2 is prepared. </s><s> In addition to DiSBAC2(3), this solution should contain 0.75 mM"
"sajc.org","(OPD) as well as admitted in various surgical wards of a teaching hospital, diagnosed as breast carcinoma. </s><s> FNAC smears","were stained with","May-Grunwald-Giemsa and Papanicolaou (Pap) stains and CG was done using Robinson system on Pap stained smears. </s><s> The"
"letusreason.org","us sweep our heart clean ""with God as the broom."" </s><s> She has said there are no inherently bad men, but only ""those whose minds","are stained with","specks of dust."" </s><s> The 8 dusts this comes in various descriptions, Miserliness, Covetousness, Hatred, Self-love,"
"frontiersin.org","were permeabilized with Phosphoflow Perm buffer (BD Biosciences, San Jose, CA) for 30 min at 4°C. After washing, cells","were stained with","Phospho-AMPK Alpha rabbit monoclonal antibody (Cell Signaling Technology, Danvers, Massachusetts) for 30 min at RT"
"nyu.edu","by during the day, or robbed the mother of a police officer in the area. </s><s> Several others were wounded and their blankets","were stained with","blood. </s><s> This episode became a tragic mark in Rio de Janeiro''s history. </s><s> Another virtual surrounding In Cold Blood is"
"budsas.org",", there''s no chance of your being able to look over the side of your boat and admire the brilliance of that jewel. </s><s> The water","''s stained with","mud and sand, frothing and tipping your boat this way and that, and the jewel is totally obscured. </s><s> But when the storm is"
"wikipedia.org","(red). </s><s> Here the parasite membrane is stained green with an antibody, while the nuclei of liver cells and parasites","are stained with","DAPI (blue) </s><s> P. berghei is used in research programs for development and screening of anti-malarial drugs and for the"
"earthlingorgeous.com","to strive to improve the lives of their families and their communities. </s><s> Ariel recognizes the journey to success","is often stained by","roadblocks that test one''s strength, dedication, and commitment, yet Filipinas are known to stand up from the fall,"
"superhero-rpg.com",". </s><s> His eyes scanned over to what appeared to be a very familiar exo suit, one that he had busted up once and another that","was still stained with","blood. </s><s> Sean would follow Zell until a familiar snarling voice could be heard, Sean''s head whipping towards it"
"music-lyrics-gospel.com","again the sunrise ends your dayI can�t come overAll you want is silence anywayBut your tears are beautifulThe couch","is stained from","your makeupI wonder, when ... </s><s> I think you''re coming around again Your psychic told you that she thinks it''s the end of the"
"clinmedjournals.org","concentrations in culture medium: the dead cells are revealed by red dots (PI staining). </s><s> The total population of cells","is stained by","white-blue fluorescence (DAPI staining). </s><s> A, C, E) control slides: B , D, F) cultures exposed to 200ng/L. G, I) cell"
"minorvictorianwriters.org.uk","by: Old Horrors rose, and leered at them, from out the tide of time,– The peering peaks of War''s old world, whose brows","were stained with","crime! </s><s> The conscious Silence was but dumb, a cursèd Plot to hide; The darkness only a mask of Death, ready to slip aside. </s>"
"germaniainternational.com","BRITSCOT 3-4) </s><s> DESCRIPTION: This is another set of the gallery shown above, but it is only nine in number and these pieces","are rather stained in","places, but the central motif is unharmed in all of them. </s><s> There is no real discernable distress in any of them actually"
"abcam.com","changes associated with apoptosis occurred and before membrane integrity is lost. </s><s> Function </s><s> Untreated Jurakt cells","were stained with","Annexin V-DY-634/PI Apoptosis Detection Kit (ab214484), following assay protocol. </s><s> Jurakt cells treated with 6 μM"
"freepatentsonline.com","on days 1, 3 and 10. </s><s> For further characterization of antigenic expression, cells at varying timepoints of culture","were stained with","the following antigenic combinations: FITC-CD15/PE-CD11b, FITC-CD71/PE-CD45RA, and FITC-CD67/PE-CD34. </s><s> To"
"surfme.org","<s> Otherwise, she''s looking like a dirty girl. </s><s> She''s also rocking blunt pink bangs and cupping her breasts, while her lips","are stained with","wine-colored, matte lipstick. </s><s> The bordeaux lip look is so ""right now,"" and Gaga works it. </s><s> PopCrushers, what do you"
"ticotimes.net","agreements with the United States and Central America and that he will bring respect to a country whose image has","been stained by","tax evasion. </s><s> Cortizo (Democratic Revolutionary Party, PRD) defeated the right-wing Rómulo Roux by a narrow margin on"
"brunelmicroscopessecure.co.uk","1930 with the monogram GRL on each slide. </s><s> The material is from a variety of animals and a variety of conditions. </s><s> Most","are stained with","haematoxylin and eosin but there are some special stains that include osmium and silver impregnation. </s><s> There are also"
"europepmc.org","cells. </s><s> HEK293cells were transfected with specific Nef constructs described above, and the cell populations","were stained with","PI. </s><s> These cells were analyzed for GFP fluorescence (NefGFP expression), PI fluorescence (necrotic cells hallmark of"
"frontiersin.org","examine if MAPC cell therapy promoted Treg while suppressing pro-inflammatory T cells. </s><s> Splenocytes and lymph nodes","were stained for","CD4 and CD25 before being stained intracellularly for FoxP3. </s><s> In the spleen, there was a slight increase in the"
"oup.com",": initial forward time, 5 s; final forward time, 35 s; current, 200 V; run time and temperature, 23 h at 11.3°C. Gels","were stained with","ethidium bromide and were photographed. </s><s> Interpretation of the relatedness of strains on the basis of the PFGE pattern"
