"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","16613"
"query","Query:[tag= ""VB.*""] [tag=""RB""]? [tag = ""VVN"" & lemma = ""stain""] [tag=""IN""] within < s/>;Shuffle:"
"Reference","Left","KWIC","Right"
"davecohen.org.uk","of rejection and humiliation may be wrapped up in that failure. </s><s> It doesn''t always work, and sometimes the keyboard","is stained with","tears of self-pitying anguish ""why me?"" </s><s> or more likely ""why not me? </s><s> Why him or her? </s><s> I''m much more talented."" </s><s> Here''s a list"
"netcafe.com.au","is all about, the more I loathed the painting of little huts on the sides of the planes I serviced. </s><s> I felt as though my hands","were stained with","blood because those huts also would have sheltered innocent people and women and children, in particular. </s><s> Earlier, at"
"ijpvmjournal.net","procedures </s><s> The left kidney was fixed in 10% formalin solution and embedded in paraffin. </s><s> The tissue slices","were stained by","hematoxylin and eosin to examine the tissue damage based on the presence of tubular atrophy, hyaline cast, ischemic"
"indymedia.org.nz","; he now stepped forward to kick the fallen drunkard, until the body was lying face upwards, and they discovered that it","was stained with","blood, for the bottle had been smashed to pieces which were now covering the floor. </s><s> A commotion was heard on the stairs"
"shearcomfort.com",": </s><s> Product Review: Competitively priced. </s><s> Great customer service. </s><s> Terrific fit. </s><s> Concerned about how easily they","are stained by","water. </s><s> Product: Velour Vehicle: 2004 Saturn Vue Rating: </s><s> Product Review: WOW, these covers fit perfectly. </s><s> Feel great,"
"rupress.org","cultured overnight without or with (stimulated) coated anti-CD3 (0.1 μg/ml) and soluble anti-CD28 (1 μg/ml) mAbs and","were stained with","annexin V FITC mAb and chA6 mAb followed by anti-human IgG1PE mAb and analyzed by flow cytometry. </s><s> Percentages of"
"rochester.edu","find more hoods Than the scoundrel can imagine!'' </s><s> If it''s extremely black: ''He''s a blacksmith, by Saint Simon – See how he","''s stained with","coal!'' </s><s> If you''re elegantly shod, And have good shoes on your feet, Then there''ll be somebody nearby Who''ll have pointed"
"cuckoldpage.com","Mike. </s><s> We talked through the whole ordeal and decided we would make the arrangement work. </s><s> My relationship with Mike","was initially stained after","the revelation. </s><s> Soon however we eased into being more like friends. </s><s> Ober the next couple months Andrea would hook up"
"freepatentsonline.com","of SDS. </s><s> The translated products were analyzed on a SDS polyacrylamide (13%) gel. </s><s> Following electrophoresis the gel","was stained with","Coomassie 250 to identify the protein standards and then the gel was impregnated with PPO in DMSO. </s><s> Fluorography was"
"swamij.com","he who kills a brahmin–these four fall, as also a fifth who associates with them.'' </s><s> "" 10. </s><s> ""But he who knows these Five Fires","is not stained by","sin even though associating with them. </s><s> He becomes pure and clean and obtains the world of the blessed–he who knows this,"
"bec-cave.org.uk","passage enters Ruby Chamber, the floor of which is covered with small angular boulders. </s><s> The roof is smooth washed and","is stained in","places with mineral deposit which makes it deep red, hence the chamber''s name. </s><s> A passage in the southern wall of Ruby"
"wikipedia.org","proteins in their fibrillar form may be relatively benign. </s><s> Micrograph of amyloid in a section of liver that has","been stained with","the dye Congo red and viewed with crossed polarizing filters, yielding a typical orange-greenish birefringence. 20X"
"house.gov","issues there may be with respect to rectifying this problem, we must never lose sight of the fact that our democracy","is permanently stained by","the disenfranchised group of citizens who pay taxes, serve in our wars, work in our Government and bear all the"
"worldcrunch.com","books in Germany, four journalists from Süddeutsche Zeitung still found the country''s children''s literature","is stained by","stereotypes. </s><s> Katharina Brunner, Sabrina Ebitsch, Kathleen Hildebrand and Martina Schories used the"
"ox.ac.uk","phenotyped by flow cytometry at baseline and 4 months after starting corticosteroids. </s><s> Pretreatment liver tissues","were stained for","forkhead box P3-positive (FOXP3POS) regulatory T cells (Tregs), clusters of differentiation (CD)56POS natural"
"tertullian.org","when you had not courage to excommunicate him for his crimes. </s><s> 9. </s><s> You say, however, ""Why seek to have us joined to you, if we","be thus stained with","guilt?"" </s><s> I reply: Because you still live, and may, if you are willing, be restored. </s><s> For when you join yourselves to us,"
"bio-protocol.org","nuclei failed to elongate and became mislocalized (C, D). </s><s> (B-D) Magnification of C and D respectively. </s><s> Embryos","were stained for","Slam (green), Neurotactin (red), and DNA (blue). </s><s> Recipes </s><s> Fly food (1 L) Molasses (g): 80 Beet syrup (g): 22 Cornmeal (g)"
"wikipedia.org","in turn one on lap 89, and crashed hard into the outside wall. </s><s> He suffers a separated shoulder. </s><s> The rough apron of turn one","was stained by","lime, which caused Andretti''s car to lose traction Rick Mears wins, and Geoff Brabham finished second, the best finish"
"vipassana.info",". </s><s> The last named was discovered for him by the prince Abhaya when he was suffering from a fistula. </s><s> The king''s garments","were stained with","blood and his queens mocked him. </s><s> Jīvaka cured the king with one single anointing; the king offered him the ornaments of"
"theblackbird.co.nz","in the move south, in fact it was held together with duct tape for the first 4 months of living there. </s><s> The walls pale blue","were stained with","years of mould, not quite the sanctuary that a bathroom should and with a square meterage of only 3m, we were now not only"
"deakin.edu.au","was composed of a putative salt-secreting component consisting of a single-layered columnar epithelium, which","was stained with","an anti-Na+,K+-ATPase serum. </s><s> Furthermore, Na+,K+-ATPase activity in the tubular structures was significantly"
"amegroups.com","in liquid nitrogen and stored at −80 °C. Paraformaldehyde-fixed paraffin-embedded sections of the liver","were stained with","hematoxylin-eosin for pathological analysis. </s><s> Frozen sections in O. </s><s> C. </s><s> T were stained with Oil-Red-O to detect lipids"
"chestofbooks.com","<s> It is pathogenic for man, but some of the lower animals appear to be somewhat susceptible. </s><s> Is very slightly contagious. </s><s>","Is stained with","some difficulty. </s><s> Stains by Gram''s. </s><s> An acidfast organism supposed to be the B. leprae has been grown on artificial"
"spaceibiza.com","<s> Sharing the denominations/faith''s beliefs and rituals to foster a sense of family and healing. </s><s> THE NIGHT OF JULY 20TH","IS STAINED WITH","KEHAKUMA COLORS Featured </s><s> The evening will begin at the Zen Garden with performances by Remo, Javi Bora, and Asun James. </s>"
"igem.org","1. </s><s> In order to see the position of the protein in the gel, and therefore confirmed the mobility shift further, the gel","were stained with","silver quest staining. </s><s> The resulting gel is shown on figure 2. </s><s> From the previous test, it was shown that Tn5 by itself"
"kropf.com.au","original high moisture content are treated with Cabot''sAquadeck water based decking oil. </s><s> Kiln dried pine products","are stained with","Cabot''s oil based deck and exterior stain. </s><s> The colour chart can be found at:"
"chestofbooks.com","if a clot forms, it fails to contract and squeeze out the serum; the blood reddens but little on exposure, its liquid part","is stained by","dissolved haematine, and it contains spherical and elongated bacteria. </s><s> Rigor mortis is rare, decomposition setting"
"uky.edu","was observed over the first 48 h after injury in both species. </s><s> Approximately 50% of the ipsilateral cortical volume","was stained at","48 h. </s><s> Similarly, the dorsal hippocampus showed widespread degeneration in all of the subfields. </s><s> This included CA1,"
"marxists.org","were running over the tables, and maggots were in every place on the furniture and on the curtains, while the carpets","were stained by","the dirt of dogs and cats. </s><s> Lord Palmerston''s Smoke Nuisance Suppression Bill has passed a second reading. </s><s> This measure"
"teethwhiteningreviews.com","pleased with the results. </s><s> I think they are fab! </s><s> Used them twice a day for seven days seen results after two days my teeth","were quite stained to","tart with. </s><s> I am happy with the results </s><s> Works great, you have to be consistent though! </s><s> I don''t like the way it tastes, but it"
"nap.edu","contained 10 mM MgCl2; 1% phosphoric acid was used to adjust the pH of working solutions instead of citric acid; samples","were stained for","20 hr; in the majority of experiments, 3- to 8-day-old adults were assayed, although for some transformed stocks,"
"longform.org","bringing people over to work in them. </s><s> They sent for Jerry, their only child, when he was five, and his teeth would always","be stained by","the lack of dental care he''d received in Hong Kong. </s><s> In college his mom made him wear a beeper at all times so she could page"
"pocketknivesmall.com","by hand by a skilled craft men''s from Peninsula. </s><s> Woodman''s Pal uses Ash wood material for the handle, which","is also stained for","good appearance. </s><s> It is then Urethane coated with the protection and have a dropped finishing with the best wax for grip"
"ashpublications.org","E) Once the number of CD138+ cells was suitable, followed by drug treatment as described in panels C and D, primary cells","were immunofluorescently stained with","AF 488–conjugated cleaved (activated) caspase-3 Ab to confirm apoptosis. </s><s> The representative images shown were"
"gutenberg.net.au","lawn. </s><s> Billy grinned in a satisfied kind of way, and held the axe above his head. </s><s> To Grace''s horror she saw that the blade","was stained with","blood. </s><s> She pointed to the weapon and raised her eyebrows as if asking what it all meant. </s><s> Then Billy commenced a strange"
"mater.org.au","is called a ''show''. </s><s> A show'' can be an early sign of labour, but equally it can happen weeks before labour starts. </s><s> The mucus","is usually stained with","old blood, and is not usually of concern. </s><s> However any fresh blood loss, especially if it is not mixed with mucus should be"
"europepmc.org","B). </s><s> Large numbers of Lewy bodies and Lewy neurites were strongly immunoreactive, and similar numbers of structures","were stained by","each antibody. </s><s> Most immunopositive Lewy bodies were located in neuronal perikarya, but the rarer intraneuritic Lewy"
"parquetfloorfitters.co.uk","of using a sanding block by hand or with a sander if you are pretty experienced. </s><s> The just made bevels will also need to","be stained in","order to match the other levels. </s><s> The easiest way to achieve that is by using a staining pen. </s><s> Center line </s><s> The time has come"
"eg.net","300 mg/kg orally. </s><s> All treatments were used daily for 6 days. </s><s> All rats were killed by decapitation. </s><s> Tissue sections","were stained with","routine histological methods and examined under light microscope. </s><s> In addition, sections were"
"inminds.com","shops, although they were selling dates to the faithful people to break their fast - the dates were made in Israel! </s><s> They","were stained with","the blood of the Palestinian people! </s><s> And Muslim shop keepers were selling them! </s><s> Lets resolve now that at least in Tower"
"epicwords.com","things, that my sight of the spirit world is tainted darkly. </s><s> My own guardian spirit, formerly a bright blazing inferno,","is stained with","streaks of black amongst the orange and red. </s><s> I have seen so much, and I can finally see what I was unable to while I wandered"
"wikipedia.org","species also readily attacks plant-based and synthetic materials if they have animal fibers integrated into them or","are stained with","blood, feces, or animal-derived oils. </s><s> It does significant damage to upholstered furniture, carpets, and fabrics of"
"flybase.org","of expression is detected in a subset of PNS cells during late embryogenesis. </s><s> Two groups of neurons (dmd5 and v''md5)","are stained in","thoracic segments, and three groups (dmd6, v''ada, and vmd5) are stained in abdominal segments. </s><s> The staining neurons"
"usf.edu","not to be found, and tears coursed down Aouda''s cheeks. </s><s> All the passengers had got out of the train, the wheels of which","were stained with","blood. </s><s> From the tyres and spokes hung ragged pieces of flesh. </s><s> As far as the eye could reach on the white plain behind, red"
"vintagetraditionalguitars.co.uk",", using the best quality wood, never laminates or plywood. </s><s> Most instruments have mahogany neck, back and sides, these","are then stained to","a dark wood finish. </s><s> Soundboards are spruce or re dwood cedar and occasionally mahogany. </s><s> Fingerboards, headstock, and"
"wikipedia.org","entrances. </s><s> The cement rendered architraves around the high window opens above and beside the main western entrance","are badly stained as","a result of corrosion of metal elements within the openings. </s><s> The external appearance of the Bathing Pavilion is very"
"erbzine.com","pens grated upon the scribbled sheets of paper, which streamed from under their hands. </s><s> When one of these sheets had","been sufficiently stained with","ink, it was passed on to the more aged monkeys; by these it was signed and passed on again to other monkeys of still graver"
"cshlp.org","microscopy showing the typical localization patterns of Dnmt3a proteins or fragments in NIH 3T3 cells, with nuclei","being stained with","DAPI. </s><s> The two Dnmt3a isoforms differ in the N-terminal unstructured region in Dnmt3a1 (219 residues in mice and 223"
"michenuels.co.uk","unit have been spray sealed and finished with a satin topcoat in our workshop, the wall panelling and staircase have","been stained in","various dark shades by hand and spray sealed then sprayed in a satin finish. </s><s> This exceptional bespoke oak handrail was"
"rishabhdara.com","; </s><s> (g) The clothes an the degger seized from the possession of accused Mukund as well as his nail cuttings were found to","be stained with","blood; and (h) At the time of arrest injuries were found on the person of Mukund which could have been caused by the victim"
"jci.org","incubated for 5 hours with 1 μl Golgi Stop (BD Bioscience) and 1 μl Golgi Plug (BD Bioscience) in 1 ml complete RPMI. </s><s> Cells","were stained with","violet fluorescent reactive dye (Invitrogen-Molecular probes, Life Technologies) for 30 minutes, prior to"
"igem.org","= ==September 1st, 2011== The resin-embedded cubes of cells were then thin sectioned and placed on a carbon grid. </s><s> They","were stained with","uranyl acetate and then positively stained with lead citrate then viewed under transmission electron microscope"
"wicksteadlab.co.uk","divisions). </s><s> Division of the minichromosomes by interaction with the mitotic spindle. </s><s> The small chromosomes have","been stained by","in situ hybridisation to a 177 bp repeat probe (red) and the microtubules by a monoclonal antibody (KMX; green). </s>"
"howtocleanit.org","to occasional dirt build up. </s><s> In cleaning your iron include the soleplate in the process so that your clothes will not","be stained while","ironing. </s><s> Do not use scouring pads and abrasive cleaning powders for the soleplate. </s><s> Before cleaning your iron, make"
"aquarium-fish.info","aquarium should have a strong current, however creating ''muddy'' water is both difficult and undesirable. </s><s> It can","be lightly stained with","peat fibre, if desired Substrate: Silver sand, rounded pebbles and driftwood Water Conditions: Soft and slightly"
"lrb.co.uk","right class. </s><s> Since then he has become a reddleman, an itinerant tradesman selling red dye to sheep farmers; he himself","is permanently stained by","it. </s><s> He is resilient, cunning and still set on Thomasin. </s><s> How on earth, you ask, could an experienced reader find painful"
"abcam.com","anti-KAT3A/CBP diluted 1/100 in 3% BSA/PBS overnight at 4°C. Actin was stained using Alexa Fluor 554 (red) and nuclei","were stained with","DAPI (blue). </s><s> The nuclear localization of KAT3A/CBP can be observed (green). </s><s> Immunohistochemical analysis of FFPE"
"arvojournals.org","after surgery eyes were enucleated and fixed in 4% formaldehyde solution, for paraffin inclusion. </s><s> Serial cuts of 3 μm","were stained in","standard hematoxiline/eosine to evaluate retinal integrity, number of retinal ganglionar cells, including life"
"fordham.edu",", Lola and her mother, Doña Theresa Medina, lived among them for ten years. </s><s> To prevent her from escaping, Lola''s skin","was stained with","a black dye, which made it difficult for Dr. Norval''s family to believe his adamant claims that the little girl bore no"
"halfaya.org","which limps. </s><s> He seems to be old and tired. </s><s> When the knight gets near, she discovers that he is wounded and that his clothes","are stained with","blood. </s><s> Then she feels a violent pain in her chest, and she suddenly dies at the top of the tower. </s><s> When the knight finally"
"lensculture.com",". </s><s> Photographs and text by Elisabetta Zavoli </s><s> If mangrove trees had blood, the 54,000 km of Indonesian coastline would","be indelibly stained in","red. </s><s> In the last 25 years, this massacre has reduced this complex amphibious ecosystem by more than 50%. </s><s> Among many"
"jove.com","at 48 h postinfection, analyzed by immunofluorescence using the mAb 1176-56, specific for ZIKV E protein. </s><s> Cell nuclei","were stained with","DAPI. </s><s> A representative merged image of ZIKV-infected Vero cells is shown. </s><s> The white square in the top right represents"
"fsu.edu","in this section is a three-dimensional reconstruction of a 30-micrometer section of rat embryo tissue at 19 days that","was stained with","Alexa Fluor 350 (wheat germ agglutinin; highlighting lectins), Alexa Fluor 568 (phalloidin; labeling actin"
"sordid-secrets.com","into a great room that housed her pack. </s><s> Staggering into the opening, she glanced around at the faces of Atrox–everyone","was stained with","dirt and soot and blood, and yet they were all, somehow, alive. </s><s> She turned to Volkan in relief. </s><s> ""I don''t want to thank the"
"fsu.edu",") Cells </s><s> Distribution of Mitochondria in BPAE Cell Cultures - A culture of bovine pulmonary artery endothelial cells","was stained with","MitoTracker Red CMXRos, vividly labeling the intracellular mitochondrial network. </s><s> The specimen was also labeled"
"smh.com.au","lives. </s><s> The other issue is definately forgetting the punchline...happens all the time...or they say it first..!! </s><s> So I","''m not stained with","the misogyny tar brush as well I must say I have seen some very funny female stand ups but...why should we have to pay to"
"foxtalestimes.com",", stepping quickly across the hall. </s><s> He pulled his clothing from the dryer, inspecting to see how badly his clothing","was stained from","earlier. </s><s> Deciding it wasn''t to bad, he slipped back into his now semi-cleaned, yet stained underwear, grabbing some"
"life.ca","with hemp bales in a technique similar to straw bale construction. </s><s> The floor and ceiling beams of mostly reclaimed wood","are stained with","hemp oil and the roof is shingled with hemp composite. </s><s> With over 120 different projects in the last nine years having"
"briercliffesociety.co.uk","to the police office, where he saw prisoner, who had surrendered himself. </s><s> He examined prisoner and found that his hands","were stained with","blood. </s><s> There was also blood on his shirt front. </s><s> Prisoner made the following statement to the constable:- ""I fairly"
"adult-fanfiction.org","what we can."" </s><s> Trance nodded and watched as Eben began to wipe down Talya''s body. </s><s> There were cuts enough that the cloth","was soon stained with","blood. </s><s> Fralen reached down and, with Eben''s help, managed to turn Talya to his stomach. </s><s> The boy moaned loudly and then"
"187.","collected and processed using the standard formalin ethyl acetate concentration technique. </s><s> Faecal smear slides","were stained with","modified Ziehl Neelsen and hot safranin stains, then examined by light microscopy for the presence of Cyclospora"
"peterandpaul.net","be the case that they are the true forms of the saints, however, then at least see that they be hung up high so that we, who","are stained by","sin, may not soil them with our kisses."" </s><s> The Patriarch sought to turn the Emperor away from such hatred, saying, ""God"
"wikipedia.org","slides processed by the chemical fixation or frozen section slides. </s><s> To see the tissue under a microscope, the sections","are stained with","one or more pigments. </s><s> The aim of staining is to reveal cellular components; counterstains are used to provide contrast"
"frontiersin.org","conditions: gradient 4.0 V/cm, run time 18 h, included angle 120°, initial switch time 10 s, final switch time 90 s. Gels","were stained with","1 μg/ml of ethidium bromide, gel images were captured and viewed using a fluorescent imaging system (BioTools"
"nyescortagency.com",", he finally put down my hand, pulling flushing control, and then they wear the pants away. </s><s> Although several places who","are stained with","his brother''s dirty solution, but I had to scared out of their wits, dare to make more toilets still stay? </s><s> So I have to rush"
"nest.co.uk",", the Moooi Zio Lounge Chair is an ideal for the lounge, library, nursery or bedroom. </s><s> The high quality, solid oak frame","is stained in","a warm cinnamon finish and the striped upholstery is a comfortable cotton blend. </s><s> Dimensions Height: 76cm x Width: 77cm"
"epsomandewellhistoryexplorer.org.uk",", without any attempt on his part to fly from justice; that, in point of fact, the pantaloons and waistcoat said to have","been stained with","blood, had been for seven months previous to the murder in the same situation in which they were found. </s><s> Mr. Justice PARK"
"jci.org","enlarged fatty liver from a mouse expressing a transgene encoding the nuclear form of SREBP-1a. </s><s> The liver sample in D","was stained with","Sudan IV, which stains fatty inclusions orange. </s><s> Original magnification, ×378. </s><s> Who''s new </s><s> Kremlin: Huge Announcement"
"lakeoswegodentalcare.com","probing with the tongue can result in muscle fatigue and soreness. </s><s> Take Care of Your Dental Bonds </s><s> Dental bonds can","be stained by","food and drink that commonly stains teeth. </s><s> Things like coffee, wine, tobacco, berries and other foods and drinks that"
"merwolf.com","Paladia, though the rest of her was covered in dirt and blood. </s><s> She had a cut on her cheek, and the linen overtunic she had on","was stained in","rust splotches, but she moved forward with an air of stolid authority, wiping her hands off on her leggings. </s><s> ""About"
"freewebads.biz","and know very well that what type of solution should be used in cleaning what type of fabric. </s><s> Certain fabrics will","be stained by","various chemicals, and some fabrics will even... </s><s> Floor Sanding & Polishing north shore & northern beaches (North Ryde"
"igem.org","sample gel for experiments 2 and 3. </s><s> A secondary gel was used as a western blot cannot be performed on a gel which has","been stained with","coomaaise, as ours were. </s><s> During the western blot, we made use of GFP binding antibodies to selectively bind only our"
"freepatentsonline.com","eye, since the colonies which grow in soft agar after 2 weeks are easily seen even without staining, although they may","be stained for","easier detection. </s><s> Similarly, if the post-confluence foci formation assay is chosen, the foci which result after"
"softpanorama.org","and neoconservatives dissent from the liberal consensus on race issues, with neither in line with the idea that whites","are stained by","""privilege."" </s><s> ..."" </s><s> ... In the early ''80s, Charles Peters, the editor of the Washington Monthly , helped usher in the new"
"ashpublications.org","endothelial cells to form tubules when cocultured with human dermal fibroblasts in EGM-2 media for 14 days, which","are subsequently stained for","CD31 (original magnification, ×10). </s><s> All images were captured with a Nikon TE300 inverted fluorescent microscope"
"gutenberg.net.au","the moisture, the sweeping plumes of the ferns were hung with heavy drops of water. </s><s> Angel''s ill-fitting black clothes","were stained by","the rain, her feet were damp in the thin black slippers; gay birds fluttered high overhead against the rifts of"
"islamicstudies.info","of evils which are prevalent in society around you: no one should ever impute to you the blame that your own life itself","is stained in","some degree with the evils that you tell others to avoid. </s><s> 6. </s><s> The words wala tamnun tastakthir in the original are so vast"
"millsy.us","increase tariffs on Chinese goods. </s><s> Duowei reported: ""After the end of the first exchange of blows, the market","is stained with","blood. </s><s> Besides skyrocketing gold prices, the U.S. stock index, the offshore RMB exchange rate, crude oil prices, and"
"michaelmazzei.net","basement has a bar room with sink and refrigerator and the walls are easy to move if you want to expand the space! </s><s> The floor","is stained throughout","the basement. </s><s> Foosball table stays! </s><s> Awesome huge 2 1/2 car garage! </s><s> Back yard is open to your imagination and backs to"
"50megs.com","was from the kingdom, even after he had presided at the council of Nicaea:-- </s><s> ""The very brightest period of his reign","is stained with","gross crimes, which even the spirit of the age and the policy of an absolute monarch cannot excuse. </s><s> After having reached"
"gutenberg.org",". </s><s> The house in Park Lane alone cost a fortune. </s><s> Her diamonds would have been the finest in London.'' </s><s> ''They would have","been stained with","the blood of the niggers he traded in out yonder,'' answered Maulevrier. </s><s> ''Do you think I would have let my sister marry a"
"merwolf.com","that lifted some of the weight off her back. </s><s> Despite the fact that they both smelled like river mud, and Xena''s overtunic","was stained with","blood up and down it''s length, it was a brief but delicious moment. </s><s> All too brief. </s><s> Gabrielle felt the tension in Xena''s"
"chompchomp.com","pronoun we. </s><s> How illogical! </s><s> We cannot churn in an ocean! </s><s> Raymond wore his one collared shirt to the job interview, which","was unfortunately stained with","yellow mustard. </s><s> Which was unfortunately stained with yellow mustard is an adjective clause. </s><s> In the sentence above, it"
"nih.gov","structure whereas cells expressing recombinant PC1-CTT have more elongated mitochondria. </s><s> Mitochondria","are stained with","Mitotracker Deep Red (Mito). d) Cumulative density of solidity index in at least three independent experiments in"
"imaging-git.com","<s> In this photo, a flexible sphere (green) is deformed by forces generated by cells within a tissue section (cell nuclei","are stained in","blue and cytoskeletal actin in red). </s><s> Image: McGill University. </s><s> US Oil Rig Count Points To A Sharp Decline In Production </s>"
"indianetzone.com","at each other after a long time and Rama said that he had wiped away the insult to his family and to himself and that Sita","was stained by","dwelling with another person. </s><s> Rama also told that he had avenged the evil deed of Ravana but he was unattached to Sita and"
"xboxaddict.com","corners of this game. </s><s> Even the little things such as after James kills a creepy creature and then walks on him, his shoes","are stained with","blood and you are able to see this on his footprints. </s><s> When he walks in puddles of water there is a ripple effect and it looks"
"monroecounty.gov","Analyzer. </s><s> Overview </s><s> The Forensic Biology section of the laboratory is responsible for analyzing evidence that may","be stained with","biological fluids such as blood, saliva, or semen. </s><s> Forensic Biology is comprised of two sub-sections: DNA Screening"
"jammu-kashmir.com","tests, which detected the presence of sperm in the slides. </s><s> However, as Dr. Shaheen had sent only one set of slides, which","were stained with","chemicals during these tests, the Forensic Sciences Laboratory expressed its inability to extract DNA. </s><s> The CFSL,"
"gutenberg.net.au","plates of which were tearing the purple of the couch. </s><s> A necklace of silver moons was tangled in his hairy breast. </s><s> His face","was stained with","splashes of blood; he was leaning on his left elbow with a smile on his large, open mouth. </s><s> Salammbo had abandoned the"
"shipwreckexpo.com","be used. </s><s> Remember to wear plastic gloves and to rinse the artifact with fresh water after using acid. </s><s> For bottles that","are stained on","the inside, use a bottle brush with a mud-like solution of detergent and water. </s><s> If you don''t have a bottle brush, just"
"godrules.net","of the Circumcelliones? </s><s> What, according to your views, are you profited by the innocence of Donatus, when you","are stained by","the rapacity of Optatus? </s><s> For this is your mistake, that you think that the unrighteousness of a man has more power in"
"alarabiya.net","viewed them as Europeanized and Americanized but no more than that. </s><s> However, does this mean Arab liberalism, which","was stained by","intellectuals, clerics and a wide category of people, is dead? </s><s> Are we ready to bury them and accept condolences? </s><s> The"
"19thc-artworldwide.org","with murderous weapons, was a fitting icon of America in 1850 for, in the English opinion, the whole of the nation","was stained by","slavery. </s><s> In the eighth scene of the panorama, the slaves'' fear of being sold was developed within the framework of the """
"news.com.au","a battle to save him, and discovered his body was filled with tapeworms, some of which were up to 27cm long. </s><s> ""Everything","was stained with","blood, but the parasite was basically a really white colour and this thick, big, long and very, very hard, this kind of"
"hubpages.com","up by the trash collectors. </s><s> Just keep in mind you want something that''s salvageable if you lug it home. </s><s> A couch that","''s stained with","pet urine is probably not going to be the sofa you want in your living room! </s><s> A table missing a leg might not be fixable"
"historion.net","he, ""for I will not call you either citizens or soldiers, you see before you this artillery, behind you this cavalry; you","are stained with","crimes, and I do not tolerate here assassins or executioners. </s><s> I know that there are scoundrels amongst you charged to"
"unc.edu","in fidelity and gallantry. </s><s> There was not a victory in which they were not crowned with laurels, nor a battle-field which","was not stained with","their blood. </s><s> The following register of the members of the Society will show the truth of the foregoing statements. </s>"
"sci-news.com","microchannel features in clinopyroxene rims; white arrows indicate fractures in the mesostasis M that","are stained with","iron oxide/hydroxide material (orange to yellow hues) and that extend up to the oval structure. </s><s> Image credit:"
"jci.org","analysis during AR antagonist treatment was performed after retroviral transduction of c-myc. </s><s> To this end, cells","were stained with","CFDA SE dye. </s><s> The fluorescence intensity of this dye decreases twofold with each cell division, thus allowing"
"paulburgess.org","for wearing to the great feast? 42For when the Son of man comes suddenly to the temple, what of those whose garments","are stained with","the stain of guilt? </s><s> I tell you, they shall be put out of the feast. 43So change your filthy garments for white garments,"
"thetrumpet.com","more closely aligned with Iran. </s><s> As attractive as the idea of having strategic allies in the region may be, these states","are deeply stained by","radical leanings or even bloodguiltiness. </s><s> Several of these governments are already in trouble with their more"
"insanejournal.com","was still the same person. </s><s> No one had a gun to his head. </s><s> It was just a hand, a soft, lovely hand pulling him down to lips that","were stained with","his blood. </s><s> It was much of the same thing for Ana. </s><s> She was completely aware of what she was doing. </s><s> Guilt was there for doing"
"arvojournals.org","or day 14, placed in 4% paraformaldehyde for 48 hours, and then embedded in paraffin blocks. </s><s> Four-millimeter sections","were stained with","hematoxylin and eosin (H&E). </s><s> On each section, the number of cells was determined for three nonoverlapping anatomic"
"blogspot.com","<s> This is going to be dreadful. </s><s> I cannot read charts. </s><s> I have tried. </s><s> I have failed. </s><s> My print-out of the ""Branching Out"" chart","is stained with","blood and bile. </s><s> Nancy calls role. </s><s> I am the only man, and when she calls ""Franklin"" the whole class looks at me. </s><s> I resist the"
"abovenet.co.uk","with 1 G 1 from 5 to 24 An antibody to phosphorylated Erk1 was used for immunofluorescence staining (green). </s><s> The nuclei","were stained with","DAPI (blue). </s><s> Representative micrographs of the 1 and 24 PC 3 and MCF7 cells, and ethanol treated PC 3 cells are shown. </s><s> The"
"bio-protocol.org","chloride (CTC) that produces a fluorescent formazan (CTF, indicated by cells stained in red) when reduced. </s><s> All cells","are stained with","the nucleic acid stain SYTO 40. </s><s> Biofilm development in flow cell reactors. </s><s> Prepare a streak plate on LB agar of a frozen"
"darkbb.com",". </s><s> It was cold... freezing cold and everything seemed darker then it once was. </s><s> Her sliver hair, clothes and skin","was stained by","the big puddle of blood that now seemed to lay around her. </s><s> She continued to shiver as she tried to get the words out of her. </s>"
"fsu.edu","microtubule and mitochondrial networks in the MDOK culture illustrated above, a rapidly growing adherent culture","was stained with","MitoTracker Red CMXRos, fixed, permeabilized, and then treated with mouse primary antibodies to tubulin. </s><s> The"
"calledtoholiness.com","eye being opened in me toward him, I became weaned from the gaieties, pleasures, and delights of this fading world. </s><s> They","were all stained in","my view, and an ardent thirst to partake of the waters of life and salvation of God took place in my mind. </s><s> I loved solitude,"
"justia.com","the collection sled to collect sample particles. </s><s> Abstract: A method of sex sorting sperm is disclosed. </s><s> The sperm may","be stained with","a DNA selective fluorescent dye, which fluoresces when excited, a dead quenching dye, which selectively quenches"
"vt.edu","here) that rest upon reticular fibers. </s><s> In the field to the right the fibers are seen as thin dark lines. </s><s> This slide","is stained with","a silver based method that takes advantage of the differences between reticular fibers and other forms of collagen. </s>"
"kenyalaw.org","of Standards from time to time. </s><s> (3) Approved cash defacement device shall have the capacity to cause all, notes to","be stained with","coverage of not less than thirty per centum of the surface of each note. </s><s> (a) staining the notes in such a manner that the"
"rndsystems.com","value whatsoever. </s><s> Detection of CD4 in Human Blood Lymphocytes by Flow Cytometry. </s><s> Human peripheral blood lymphocytes","were stained with","(A) Mouse Anti-Human CD4 PE-conjugated Monoclonal Antibody (Catalog # FAB3791P) or (B) Mouse IgG2A Phycoerythrin"
